id,category,title,content
1,상품정보,전자제품 카테고리 개요,"전자제품은 전체 매출의 35%를 차지하는 최대 카테고리입니다. 주요 상품으로는 스마트폰, 노트북, 태블릿, 무선 이어폰, 스마트워치가 있습니다. 평균 객단가는 45,000원이며, 재구매율은 28%입니다."
2,상품정보,의류 카테고리 개요,"의류는 전체 매출의 25%를 차지합니다. 시즌별 트렌드에 민감하며, 봄/가을 시즌에 매출이 집중됩니다. 주요 상품은 캐주얼 상의, 아우터, 데님입니다. 반품률이 12%로 전 카테고리 중 가장 높습니다."
3,상품정보,식품 카테고리 개요,"식품은 전체 매출의 20%를 차지합니다. 신선식품과 가공식품으로 나뉘며, 건강식품 서브 카테고리가 빠르게 성장 중입니다. 반복 구매율이 65%로 전 카테고리 중 가장 높아 고객 유지에 핵심 역할을 합니다."
4,상품정보,도서 카테고리 개요,"도서는 전체 매출의 10%를 차지합니다. 자기계발서와 IT 기술서적이 인기이며, 전자책 비중이 점차 증가하고 있습니다. 객단가는 18,000원으로 낮지만 배송비 대비 마진율이 높은 편입니다."
5,상품정보,스포츠 카테고리 개요,"스포츠 용품은 전체 매출의 10%를 차지합니다. 러닝화, 요가 용품, 홈트레이닝 기구가 주요 상품입니다. 계절별 변동이 크며, 1~3월 신년 다이어트 시즌에 매출이 급증합니다."
6,매출분석,2025년 상반기 매출 트렌드,"2025년 상반기(1~6월) 총 매출은 1억 1,300만원입니다. 전년 동기 대비 25.6% 성장했습니다. 특히 4~5월 매출이 크게 증가했는데, 이는 봄 시즌 프로모션과 신규 회원 유입 캠페인의 효과로 분석됩니다."
7,매출분석,2025년 하반기 매출 트렌드,"2025년 하반기(7~12월) 총 매출은 1억 9,200만원으로 상반기 대비 70% 높습니다. 11~12월 연말 쇼핑 시즌이 최대 매출 구간이며, 블랙프라이데이와 크리스마스 프로모션이 핵심 드라이버입니다."
8,매출분석,전년 대비 성장률,"2025년 연간 총 매출은 3억 500만원으로, 2024년 2억 3,700만원 대비 28.7% 성장했습니다. 모든 월에서 전년 대비 양의 성장률을 기록했으며, 특히 7~8월 성장률이 가장 높았습니다(27.3%)."
9,매출분석,월별 매출 최고/최저,"2025년 매출이 가장 높은 달은 12월(3,800만원)이며, 가장 낮은 달은 1월(1,200만원)입니다. 연말로 갈수록 매출이 증가하는 우상향 트렌드를 보이고 있으며, 이는 고객 기반 확대와 계절적 수요 증가가 복합적으로 작용한 결과입니다."
10,방문자분석,주간 방문자 패턴,"주간 방문자 데이터에 따르면, 금요일(1,290명)부터 일요일(1,320명)까지 주말에 방문자 수가 급증합니다. 월~목 평균 방문자는 897명인 반면, 금~일 평균은 1,313명으로 약 46% 더 높습니다."
